taxpayers,Total income before tax,income range (lower limit)
"3,990","33,000"," 6,475 "
"6,730","83,600"," 10,000 "
"5,440","94,600"," 15,000 "
"6,880","168,000"," 20,000 "
"5,640","214,000"," 30,000 "
"1,370","79,400"," 50,000 "
651,"53,600"," 70,000 "
319,"38,400"," 100,000 "
116,"19,800"," 150,000 "
77,"18,600"," 200,000 "
43,"16,100"," 300,000 "
23,"15,500"," 500,000 "
10,"22,300"," 1,000,000 "
